[10/08/24, 7:49:50 PM] Nidhi: You suck
[20/08/24, 10:52:06 AM] Nidhi: Hi
[20/08/24, 10:52:06 AM] Nidhi: Get this app
[20/08/24, 10:52:06 AM] Nidhi: Called locket
[21/08/24, 11:07:24 AM] Vihaan: Locket
[21/08/24, 11:07:25 AM] Vihaan: Why
[21/08/24, 11:33:19 AM] Nidhi: Bro
[21/08/24, 11:33:21 AM] Nidhi: It's cute
[21/08/24, 11:33:32 AM] Nidhi: It's a widget on your home screen
[21/08/24, 11:33:36 AM] Nidhi: And you can put a pic
[21/08/24, 11:33:40 AM] Nidhi: Evwryday
[21/08/24, 10:02:00 PM] Vihaan: 🗿🗿🗿🗿
[21/08/24, 10:02:15 PM] Vihaan: Do I wanna be putting pics of me everyday on my home screen
[21/08/24, 10:02:17 PM] Vihaan: 😭
[21/08/24, 10:04:45 PM] Nidhi: Arrey
[21/08/24, 10:04:47 PM] Nidhi: Itll be
[21/08/24, 10:04:53 PM] Nidhi: The people you're connected w
[21/08/24, 10:04:56 PM] Nidhi: Their photo
[21/08/24, 10:05:06 PM] Nidhi: And I'll see yours
[23/08/24, 12:44:19 PM] Vihaan: https://youtu.be/lOS5_I3Yzog?si=eLKMiu_9b-cTOsBw
[23/08/24, 1:43:59 PM] Nidhi: Bro
[23/08/24, 1:44:02 PM] Nidhi: Did I twll tou
[23/08/24, 1:44:10 PM] Nidhi: I got another piercing
[23/08/24, 9:42:05 PM] Vihaan: Tf
[23/08/24, 9:54:49 PM] Vihaan: Bro whyyy
[23/08/24, 9:54:53 PM] Vihaan: 😭😭😭
[23/08/24, 9:55:43 PM] Nidhi: Bore ho Raha tha
[23/08/24, 9:55:46 PM] Nidhi: But I got it like
[23/08/24, 9:55:48 PM] Nidhi: Last week
[23/08/24, 9:55:55 PM] Nidhi: You don't like it uh
[23/08/24, 10:29:25 PM] Vihaan: Cos u were getting bored u got piercing 😭
[23/08/24, 10:29:29 PM] Vihaan: Bro
[23/08/24, 10:29:30 PM] Vihaan: Like
[23/08/24, 10:33:02 PM] Nidhi: I meanim
[23/08/24, 10:33:06 PM] Nidhi: I wanted to
[23/08/24, 10:33:09 PM] Nidhi: I like it also
[23/08/24, 10:33:14 PM] Nidhi: Ok bro
[23/08/24, 10:38:41 PM] Vihaan: I like less piercings
[23/08/24, 10:38:48 PM] Vihaan: I forgot to send msg lmao
[23/08/24, 10:39:02 PM] Vihaan: Then good onlyy
[23/08/24, 10:39:11 PM] Vihaan: My roomie ain't opening the door
[23/08/24, 10:39:13 PM] Vihaan: What2do
[24/08/24, 9:11:32 PM] Nidhi: Skill issue
[24/08/24, 9:11:40 PM] Nidhi: Arrey you're 1 hr too late
[24/08/24, 9:11:45 PM] Nidhi: What did you do
[24/08/24, 9:11:54 PM] Nidhi: I'm scared he'll beat you up
[24/08/24, 9:14:12 PM] Vihaan: Broo
[24/08/24, 9:14:15 PM] Vihaan: It was one story bro
[24/08/24, 9:14:18 PM] Vihaan: I'll tell next time
[24/08/24, 9:14:24 PM] Vihaan: No same bruh
[24/08/24, 9:15:22 PM] Nidhi: Fr uh
[24/08/24, 9:15:32 PM] Nidhi: Did yall fight again
[24/08/24, 9:15:36 PM] Nidhi: Is the beef
[24/08/24, 9:15:38 PM] Nidhi: More now
[24/08/24, 9:15:40 PM] Vihaan: Not fight foght
[24/08/24, 9:15:42 PM] Vihaan: But yea
[24/08/24, 9:15:45 PM] Vihaan: Not really
[24/08/24, 9:16:05 PM] Nidhi: Then peace only
[24/08/24, 9:16:12 PM] Nidhi: Just like figure out a new system
[24/08/24, 9:16:20 PM] Nidhi: In which you can enter
[24/08/24, 9:16:27 PM] Nidhi: W/o disturbing his sleep
[25/08/24, 8:10:12 PM] Nidhi: I got st jhons!
[25/08/24, 8:15:53 PM] Vihaan: YaoOOOOOO
[25/08/24, 8:15:55 PM] Vihaan: WTF
[25/08/24, 8:15:59 PM] Vihaan: LESGOOOO
[25/08/24, 8:16:06 PM] Vihaan: Wait so ditch ramaiah
